Ratio,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,fitness
10,0.99416,0.99375,0.9942,0.88084,0.57939,0.23295,0.85818,0.89218
30,0.99416,0.99375,0.9942,0.88084,0.57939,0.23295,0.85818,0.89218
50,0.99418,0.99284,0.99417,0.88076,0.58544,0.24302,0.8628,0.8921
70,0,0,0,0,0.60504,0.26344,0.86194,0
90,0,0,0,0,0.61493,0.29068,0.86626,0
